RPID,IP,MAC,Class,Room,Asset,Serial,Building,FQDN,ARP Last
10917071,10.40.48.46,ac:cc:8e:ae:ed:92,IPCAMERA,k1,0,,ADMINISTRASIE BLOK A,axp5512-narga-o-ptz-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.47,00:40:8c:f1:d3:2c,IPCAMERA,k3019,0, ,NATUURWETENSKAPPE,axp3354-narga-g-backl-nat.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.48,00:40:8c:a4:ee:5a,IPCAMERA,k3019,0, ,NATUURWETENSKAPPE,axm3014-narga-g-hallway-nat.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.49,00:40:8c:ad:35:4a,IPCAMERA,k3019,0, ,NATUURWETENSKAPPE,axp3344-narga-h-outside-nat.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.50,ac:cc:8e:78:f1:04,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axp3224-narga-a-frontl-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.51,ac:cc:8e:78:f0:f1,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,ax216mfd-narga-a-backl-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.52,ac:cc:8e:78:f0:fe,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axp3224-narga-o-office-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.53,ac:cc:8e:7b:8b:d6,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axm3045-narga-o-printers-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.54,ac:cc:8e:7b:8c:1a,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axm3045-narga-o-door-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.55,ac:cc:8e:78:f1:13,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axp3224-narga-o-hallway-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.56,ac:cc:8e:78:f1:0c,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axp3224-narga-hallway-printers-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.57,ac:cc:8e:79:0d:81,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axp3224-narga-stairs-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.58,ac:cc:8e:78:99:3c,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,nargabbackleft.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.61,ac:cc:8e:73:38:cf,IPCAMERA,k2088,0, ,ADMINISTRASIE BLOK A,axf41-narga-o-covert-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.62,ac:cc:8e:5d:15:a4,IPCAMERA,k2088,0, ,ADMINISTRASIE BLOK A,axf44-narga-groundf-covert-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.64,ac:cc:8e:88:16:2c,IPCAMERA,k3011,0,,NATUURWETENSKAPPE,axp3225-narga-h-outside-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.200.48.1,70:7b:e8:77:8c:1d,ROUTER,k120,0, ,INGENIEURS BEDRYFS,rgartr-nargaswitches.sun.ac.za,2019-02-21 15:25:01,Undocumented
11315725,10.200.48.2,e4:35:c8:7d:66:00,SWITCH,k3018,0, ,NATUURWETENSKAPPE,narga-nat-3018-03ba-ae-sw1-fib.sun.ac.za,2019-02-21 15:25:01,Huawei S5700-52C-PWR-SI
11315725,10.200.48.3,00:1f:28:4a:2c:00,SWITCH,k2003,0, ,GEOLOGIE / KAMER VAN MYNWESE,narga-geo-2003-chassis-fib.sun.ac.za,2019-02-21 15:25:01,HP 5412zl
15747328,10.200.48.4,38:ea:a7:2b:60:80,SWITCH,k2089,0, ,ADMINISTRASIE BLOK A,narga-aba-2089-sw3-poe.sun.ac.za,2017-04-13 09:55:01,Undocumented
15747328,10.200.48.5,38:ea:a7:2b:4a:c0,SWITCH,k2089,0, ,ADMINISTRASIE BLOK A,narga-aba-2089-sw4-poe.sun.ac.za, ,Undocumented
10917071,10.200.48.6,00:21:f7:0b:2c:00,SWITCH,k2089,0, ,ADMINISTRASIE BLOK A,narga-aba-2089-chassis-fib.sun.ac.za, ,Undocumented
11315725,10.200.48.7,c0:91:34:c9:c2:00,SWITCH,k2089,0, ,ADMINISTRASIE BLOK A,narga-aba-2089-sw2.sun.ac.za, ,Undocumented
10917071,10.200.48.8,00:18:71:8a:6e:60,SWITCH,k2089,0, ,ADMINISTRASIE BLOK A,narga-aba-2089-sw1.sun.ac.za, ,Undocumented
10917071,10.200.48.9,00:1f:28:41:a2:00,SWITCH,k2003,0, ,NATUURWETENSKAPPE,narga-nat-2003-chassis1-fib.sun.ac.za,2019-02-21 15:25:01,HP 5412zl
11315725,10.200.48.10,b4:39:d6:fe:83:00,SWITCH,k3050,0, ,NATUURWETENSKAPPE,narga-nat3050-03ab-ay-chas1.sun.ac.za,2019-02-21 15:25:01,HP 5412zl
15747328,10.200.48.11,e4:11:5b:6b:89:00,SWITCH,k2021d,0,,GEOLOGIE / KAMER VAN MYNWESE,narga-geo-2021d-sw2-poe-fib.sun.ac.za,2019-02-21 15:25:01,HP 2910al-48G-PoE
15747328,10.200.48.12,e4:11:5b:6b:04:c0,SWITCH,k2021,0,,GEOLOGIE / KAMER VAN MYNWESE,narga-geo-2021d-sw3-poe.sun.ac.za,2019-02-21 15:25:01,HP 2910al-48G-PoE
10917071,10.200.48.14,00:1b:3f:b0:1f:c0,SWITCH,k2089,0, ,ADMINISTRASIE BLOK A,narga-aba-2089-sw-poe-cam.sun.ac.za,2017-04-13 09:55:01,Undocumented
11315725,10.200.48.16,00:1d:b3:f6:45:c0,SWITCH,k2003,0, ,GEOLOGIE / KAMER VAN MYNWESE,geo-2003-kas-aw-sw11-narga-cam.sun.ac.za,2019-02-21 15:25:01,Undocumented
11315725,10.200.48.17,48:7b:6b:7e:09:40,SWITCH,k2089,0, ,ADMINISTRASIE BLOK A,narga-aba-2089-02ab-ak-chas1.sun.ac.za,2019-02-21 15:25:01,Huawei S7712
14126087,146.232.40.58,5c:f9:dd:de:60:5b,HOST,k1001,436412, ,J.C. SMUTS BLOK B (BIOLOGIESE WETENSKAPPE),narga436412.stb.sun.ac.za,2019-02-21 15:25:01, 
14126087,146.232.40.61,5c:f9:dd:de:54:a3,HOST,k1001,444046, ,J.C. SMUTS BLOK B (BIOLOGIESE WETENSKAPPE),narga436393.stb.sun.ac.za,2019-02-21 15:05:01, 
14126087,146.232.40.74,5c:f9:dd:de:54:a1,HOST,k302,436398, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga436398.stb.sun.ac.za,2019-02-21 15:25:01, 
19704992,146.232.40.147,5c:f9:dd:de:55:f9,HOST,k1001,436395,,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga436395.stb.sun.ac.za,2019-02-14 14:00:01, 
14126087,146.232.40.149,5c:f9:dd:e4:d2:e6,HOST,k1001,440365, ,J.C. SMUTS BLOK B (BIOLOGIESE WETENSKAPPE),narga440365.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.40.204,14:b3:1f:07:74:29,HOST,k209b,0, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-gen-01.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.40.252,14:b3:1f:09:a0:be,HOST,k209b,0, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-gen-02.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.40.255,14:b3:1f:09:9b:a5,HOST,k209b,0, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-gen-03.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.41.38,14:b3:1f:08:be:08,HOST,k209b,0, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-gen-04.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.41.41,14:b3:1f:08:07:b2,HOST,k209b,0, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-gen-05.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.41.57,14:b3:1f:09:a0:d4,HOST,k209b,0, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-gen-06.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.41.70,14:b3:1f:08:be:81,HOST,k209b,0, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-gen-07.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.41.79,14:b3:1f:07:73:14,HOST,k209b,0, ,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-gen-08.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
20622481,146.232.43.19,74:e6:e2:da:c7:31,HOST,3009,454771,,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-kiosk01.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
20622481,146.232.43.20,74:e6:e2:da:c7:23,HOST,3009,454783,,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-kiosk03.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
20622481,146.232.43.21,74:e6:e2:da:c7:85,HOST,3009,454776,,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-kiosk04.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
20622481,146.232.43.22,74:e6:e2:da:c7:c6,HOST,3009,454709,,J.C. SMUTS BLOK A (BIOLOGIESE WETENSKAPPE),narga-kiosk02.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
15346773,146.232.48.11,f4:8e:38:d9:74:a5,HOST,k2093,466806, ,ADMINISTRASIE BLOK A,narga-a09.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.12,f4:8e:38:d9:74:74,HOST,k2093,466807, ,ADMINISTRASIE BLOK A,narga-a10.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.13,f4:8e:38:d9:c9:bf,HOST,k2093,466808, ,ADMINISTRASIE BLOK A,narga-a11.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.14,f4:8e:38:d9:75:10,HOST,k2093,466809, ,ADMINISTRASIE BLOK A,narga-a12.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.15,00:50:56:b8:1f:b8,HOST,k3018,0, ,NATUURWETENSKAPPE,testing-narga.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.16,f4:8e:38:d9:c9:8c,HOST,k2093,466811, ,ADMINISTRASIE BLOK A,narga-a14.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.17,f4:8e:38:d9:73:5b,HOST,k2093,466812, ,ADMINISTRASIE BLOK A,narga-a15.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.18,f4:8e:38:d9:74:8e,HOST,k2093,466813, ,ADMINISTRASIE BLOK A,narga-a16.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.19,f4:8e:38:d9:75:b3,HOST,k2093,466814, ,ADMINISTRASIE BLOK A,narga-a17.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.20,f4:8e:38:d9:73:b4,HOST,k2093,466815, ,ADMINISTRASIE BLOK A,narga-a18.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.21,f4:8e:38:d9:c8:5a,HOST,k2093,466870, ,ADMINISTRASIE BLOK A,narga-a73.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.22,f4:8e:38:d9:c8:b7,HOST,k2093,466826, ,ADMINISTRASIE BLOK A,narga-a29.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.23,f4:8e:38:d9:8b:29,HOST,k2093,466825, ,ADMINISTRASIE BLOK A,narga-a28.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.24,f4:8e:38:d9:c8:aa,HOST,k2093,466824, ,ADMINISTRASIE BLOK A,narga-a27.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.25,f4:8e:38:d9:75:b1,HOST,k2093,466823, ,ADMINISTRASIE BLOK A,narga-a26.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.26,f4:8e:38:d9:c9:b6,HOST,k2093,466822, ,ADMINISTRASIE BLOK A,narga-a25.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
